,phrase,label,sentiment,subjectivity,language,count
Konitsa,Konitsa,ORG,-0.1875,0.0,en,1
Papigo,Papigo,ORG,-0.6999999999999998,0.0,en,1
Florina Bad,Florina Bad,ORG,-0.6999999999999998,0.0,en,1
TarkasGreece,TarkasGreece,ORG,-0.12777777777777777,0.0,en,1
Interior,Interior,ORG,-0.6999999999999998,0.0,en,1
the Fire Department,the Fire Department,ORG,0.15,0.0,en,1
Thrace,Thrace,ORG,-0.17499999999999996,0.0,en,1
Finikounda,Finikounda,ORG,0.0,0.0,en,1
Messinia -,Messinia -,ORG,0.0,0.0,en,1
Adel,Adel,ORG,-0.6999999999999998,0.0,en,1
